External ID,Issue Type,Summary,Description,Epic Name,Epic Ref,Epic Link,Parent External ID,Priority,Story Points,Sprint,Component,Labels,Depends On,Acceptance Criteria,Owner Role,Fix Version
EP-10-ST-06,Story,Studio & Workflow UI: Integration and demo readiness,Integrate with dependent services and provide demo evidence.,,EP-10,EP-10,,High,5,Sprint 4,Frontend,"story,ep-10,frontend",EP-03,"Given Studio & Workflow UI, when integration and demo readiness, then the deliverable is reviewed, tested, and demoable against the contract pack.",Frontend Engineer,Release 1
EP-10-TS-01,Task,Studio & Workflow UI: Test automation,"Add unit, integration, and contract tests.",,EP-10,EP-10,EP-10-ST-03,High,3,Sprint 4,Frontend,"task,qa,ep-10",EP-10-ST-03,Automated tests pass in CI for the scoped area.,QA Engineer,Release 1
EP-10-TS-02,Task,Studio & Workflow UI: Documentation,"Write service README, runbook, and handoff notes.",,EP-10,EP-10,EP-10-ST-03,Medium,2,Sprint 4,Frontend,"task,docs,ep-10",EP-10-ST-03,Documentation is complete and reviewed.,Tech Writer,Release 1
EP-11-ST-01,Story,Governance & Executive UX: Define contract and ADRs,"Create detailed contracts, ADRs, and coding conventions for the area.",,EP-11,EP-11,,Medium,3,Sprint 8,GovernanceUI,"story,ep-11,governanceui",EP-09,"Given Governance & Executive UX, when define contract and adrs, then the deliverable is reviewed, tested, and demoable against the contract pack.",Frontend Engineer,Release 1
EP-11-ST-02,Story,Governance & Executive UX: Implement service skeleton,"Create service repository/module, health checks, config, and CI integration.",,EP-11,EP-11,,Medium,5,Sprint 8,GovernanceUI,"story,ep-11,governanceui",EP-09,"Given Governance & Executive UX, when implement service skeleton, then the deliverable is reviewed, tested, and demoable against the contract pack.",Frontend Engineer,Release 1
EP-11-ST-03,Story,Governance & Executive UX: Implement primary endpoint or worker flow,Deliver the main functional path with tests and tracing.,,EP-11,EP-11,,Medium,8,Sprint 8,GovernanceUI,"story,ep-11,governanceui",EP-09,"Given Governance & Executive UX, when implement primary endpoint or worker flow, then the deliverable is reviewed, tested, and demoable against the contract pack.",Frontend Engineer,Release 1
EP-11-ST-04,Story,"Governance & Executive UX: Add policy, validation, and error handling","Add guardrails, validation, and standard error envelope behavior.",,EP-11,EP-11,,Medium,5,Sprint 8,GovernanceUI,"story,ep-11,governanceui",EP-09,"Given Governance & Executive UX, when add policy, validation, and error handling, then the deliverable is reviewed, tested, and demoable against the contract pack.",Frontend Engineer,Release 1
EP-11-ST-05,Story,Governance & Executive UX: Add observability and audit hooks,"Emit logs, traces, metrics, and audit events for the area.",,EP-11,EP-11,,Medium,3,Sprint 8,GovernanceUI,"story,ep-11,governanceui",EP-09,"Given Governance & Executive UX, when add observability and audit hooks, then the deliverable is reviewed, tested, and demoable against the contract pack.",Frontend Engineer,Release 1
EP-11-ST-06,Story,Governance & Executive UX: Integration and demo readiness,Integrate with dependent services and provide demo evidence.,,EP-11,EP-11,,Medium,5,Sprint 8,GovernanceUI,"story,ep-11,governanceui",EP-09,"Given Governance & Executive UX, when integration and demo readiness, then the deliverable is reviewed, tested, and demoable against the contract pack.",Frontend Engineer,Release 1
EP-11-TS-01,Task,Governance & Executive UX: Test automation,"Add unit, integration, and contract tests.",,EP-11,EP-11,EP-11-ST-03,High,3,Sprint 8,GovernanceUI,"task,qa,ep-11",EP-11-ST-03,Automated tests pass in CI for the scoped area.,QA Engineer,Release 1
EP-11-TS-02,Task,Governance & Executive UX: Documentation,"Write service README, runbook, and handoff notes.",,EP-11,EP-11,EP-11-ST-03,Medium,2,Sprint 8,GovernanceUI,"task,docs,ep-11",EP-11-ST-03,Documentation is complete and reviewed.,Tech Writer,Release 1
EP-12-ST-01,Story,"Hardening, Performance & Launch: Define contract and ADRs","Create detailed contracts, ADRs, and coding conventions for the area.",,EP-12,EP-12,,Critical,3,Sprint 10,Hardening,"story,ep-12,hardening",EP-08,"Given Hardening, Performance & Launch, when define contract and adrs, then the deliverable is reviewed, tested, and demoable against the contract pack.",Tech Lead,Release 1
EP-12-ST-02,Story,"Hardening, Performance & Launch: Implement service skeleton","Create service repository/module, health checks, config, and CI integration.",,EP-12,EP-12,,Critical,5,Sprint 10,Hardening,"story,ep-12,hardening",EP-08,"Given Hardening, Performance & Launch, when implement service skeleton, then the deliverable is reviewed, tested, and demoable against the contract pack.",Tech Lead,Release 1
EP-12-ST-03,Story,"Hardening, Performance & Launch: Implement primary endpoint or worker flow",Deliver the main functional path with tests and tracing.,,EP-12,EP-12,,Critical,8,Sprint 10,Hardening,"story,ep-12,hardening",EP-08,"Given Hardening, Performance & Launch, when implement primary endpoint or worker flow, then the deliverable is reviewed, tested, and demoable against the contract pack.",Tech Lead,Release 1
EP-12-ST-04,Story,"Hardening, Performance & Launch: Add policy, validation, and error handling","Add guardrails, validation, and standard error envelope behavior.",,EP-12,EP-12,,Critical,5,Sprint 10,Hardening,"story,ep-12,hardening",EP-08,"Given Hardening, Performance & Launch, when add policy, validation, and error handling, then the deliverable is reviewed, tested, and demoable against the contract pack.",Tech Lead,Release 1
EP-12-ST-05,Story,"Hardening, Performance & Launch: Add observability and audit hooks","Emit logs, traces, metrics, and audit events for the area.",,EP-12,EP-12,,Critical,3,Sprint 10,Hardening,"story,ep-12,hardening",EP-08,"Given Hardening, Performance & Launch, when add observability and audit hooks, then the deliverable is reviewed, tested, and demoable against the contract pack.",Tech Lead,Release 1
EP-12-ST-06,Story,"Hardening, Performance & Launch: Integration and demo readiness",Integrate with dependent services and provide demo evidence.,,EP-12,EP-12,,Critical,5,Sprint 10,Hardening,"story,ep-12,hardening",EP-08,"Given Hardening, Performance & Launch, when integration and demo readiness, then the deliverable is reviewed, tested, and demoable against the contract pack.",Tech Lead,Release 1
EP-12-TS-01,Task,"Hardening, Performance & Launch: Test automation","Add unit, integration, and contract tests.",,EP-12,EP-12,EP-12-ST-03,High,3,Sprint 10,Hardening,"task,qa,ep-12",EP-12-ST-03,Automated tests pass in CI for the scoped area.,QA Engineer,Release 1
EP-12-TS-02,Task,"Hardening, Performance & Launch: Documentation","Write service README, runbook, and handoff notes.",,EP-12,EP-12,EP-12-ST-03,Medium,2,Sprint 10,Hardening,"task,docs,ep-12",EP-12-ST-03,Documentation is complete and reviewed.,Tech Writer,Release 1
SPIKE-01,Spike,Model route policy benchmark,Evaluate latency/cost tiers and route policy baselines.,,EP-06,EP-06,,High,5,Sprint 3,ModelTool,"spike,benchmark,modeltool",EP-03-ST-03,Benchmark report produced with recommendation.,ML Engineer,Release 1
SPIKE-02,Spike,Threat model workshop,"Run threat modeling for workload identity, tool execution, and release flow.",,EP-02,EP-02,,High,5,Sprint 2,Security,"spike,security",EP-02-ST-02,Threat model documented with remediation backlog.,Security Engineer,Release 1
SPIKE-03,Spike,Load test design,Design load and chaos test scenarios for run orchestration and worker scaling.,,EP-12,EP-12,,Medium,5,Sprint 10,Hardening,"spike,performance",EP-05-ST-06,Approved performance test plan exists.,SRE,Release 1
